JAGS output for model 'JAGS/distance_JAGS_model_2025.txt', generated by jagsUI.
Estimates based on 3 chains of 9000 iterations,
adaptation = 3000 iterations (sufficient),
burn-in = 0 iterations and thin rate = 30,
yielding 900 total samples from the joint posterior. 
MCMC ran for 0.929 minutes at time 2025-10-13 07:38:04.353443.

               mean   sd  2.5%   50% 97.5% overlap0    f Rhat n.eff
lam.K.Y13      0.15 0.22  0.02  0.07  0.68    FALSE 1.00 1.05   900
lam.S.Y18      9.69 1.23  7.62  9.65 12.13    FALSE 1.00 1.01   192
lam.K.Y18      3.57 0.61  2.46  3.55  4.79    FALSE 1.00 1.07    38
lam.S.Y19      9.73 1.23  7.55  9.65 12.45    FALSE 1.00 1.00   900
lam.K.Y19      7.10 0.98  5.39  7.06  9.22    FALSE 1.00 1.00   900
lam.S.Y24      6.71 0.98  4.91  6.71  8.69    FALSE 1.00 1.00   900
lam.K.Y24      5.01 0.75  3.70  4.94  6.60    FALSE 1.00 1.00   900
sigma[1]      18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[2]      18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[3]      18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[4]      18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[5]      18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[6]      18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[7]      18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[8]      18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[9]      18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[10]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[11]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[12]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[13]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[14]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[15]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[16]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[17]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[18]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[19]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[20]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[21]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[22]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[23]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[24]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[25]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[26]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[27]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[28]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[29]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[30]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[31]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[32]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[33]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[34]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[35]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[36]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[37]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[38]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[39]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[40]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[41]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[42]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[43]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[44]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[45]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[46]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[47]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[48]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[49]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[50]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[51]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[52]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[53]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[54]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[55]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[56]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[57]     18.44 5.91 13.33 16.61 34.05    FALSE 1.00 1.01   900
sigma[58]     45.76 2.71 40.84 45.56 51.07    FALSE 1.00 1.01   168
sigma[59]     45.76 2.71 40.84 45.56 51.07    FALSE 1.00 1.01   168
sigma[60]     45.76 2.71 40.84 45.56 51.07    FALSE 1.00 1.01   168
sigma[61]     45.76 2.71 40.84 45.56 51.07    FALSE 1.00 1.01   168
sigma[62]     45.76 2.71 40.84 45.56 51.07    FALSE 1.00 1.01   168
sigma[63]     45.76 2.71 40.84 45.56 51.07    FALSE 1.00 1.01   168
sigma[64]     45.76 2.71 40.84 45.56 51.07    FALSE 1.00 1.01   168
sigma[65]     45.76 2.71 40.84 45.56 51.07    FALSE 1.00 1.01   168
 [ reached 'max' / getOption("max.print") -- omitted 69 rows ]

Successful convergence based on Rhat values (all < 1.1). 
Rhat is the potential scale reduction factor (at convergence, Rhat=1). 
For each parameter, n.eff is a crude measure of effective sample size. 

overlap0 checks if 0 falls in the parameter's 95% credible interval.
f is the proportion of the posterior with the same sign as the mean;
i.e., our confidence that the parameter is positive or negative.

DIC info: (pD = var(deviance)/2) 
pD = 377.4 and DIC = 5269.46 
DIC is an estimate of expected predictive error (lower is better).
